award_piid,pe_bli,adjudicated_confidence,award_verdict,pair_reason,basis,evidence,note,refuter_lenses_passed
HR001117C0052,0605001E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (LGS DSPRS effort), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0052,0603469E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (LGS DSPRS effort), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0052,0603468E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (LGS DSPRS effort), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0052,0603766E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (LGS DSPRS effort), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0052,0605898E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (LGS DSPRS effort), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0052,0601101E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (LGS DSPRS effort), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0052,0603767E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (LGS DSPRS effort), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0052,0605502E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (LGS DSPRS effort), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0052,0602023E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (LGS DSPRS effort), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0052,0601122E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (LGS DSPRS effort), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0052,0602716E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (LGS DSPRS effort), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0605001E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0601117E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0602715E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0603286E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0605898E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0603468E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0603760E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0602303E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0602023E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0602024E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0603467E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0602702E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0601122E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0602026E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0602025E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0603766E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0603469E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0602716E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0603739E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0603287E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0602115E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0605502E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0603767E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0053,0601101E,medium,darpa_unpinned,unpinned-pool,,,"DARPA DCOMP program (USC, DETER testbed expansion), HR0011 office. No corpus hit; no specific project-title match.",
HR001117C0054,0603767E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0603287E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0602702E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0605001E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0605502E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0603469E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0603467E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0603760E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0601122E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0605898E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0602303E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0602115E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0602025E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0603739E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0601101E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0603468E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0602716E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0603286E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0602023E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0603766E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0602715E,high,pinned,pinned-here,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,2
HR001117C0054,0602026E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0601117E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0054,0602024E,low,pinned,pinned-elsewhere:0602715E,narrative-grep,0602715E 'Reconfigurable Systems' narrative: 'formal mathematical approaches to complex adaptive system composition and design' — CASCADE acronym expansion + contract's goal sentence near-verbatim.,Narrative also mirrors 'unified view of system behavior...exploitation of complex interactions'. Line moves to 0602025E/MSL-01 in FY2026; award (2017-2019) predates the move.,
HR001117C0060,0603469E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0602715E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0603468E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0601101E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0602115E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0603286E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0603760E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0602025E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0602024E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0601122E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0603467E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0603287E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0605898E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0603766E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0602023E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0602716E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0602303E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0601117E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0605502E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0602026E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0605001E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0602702E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0603767E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0060,0603739E,medium,darpa_unpinned,unpinned-pool,,,"HR0011 office, but descriptions say only 'DARPA RESEARCH PROJECT' — clearly DARPA, zero subject-matter content to pin a PE.",
HR001117C0064,0602024E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0603760E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0605001E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0605502E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0602716E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0602303E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0603287E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0603739E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0603766E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0602023E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0601101E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0602115E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0603767E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0602025E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0603467E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0602702E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0601122E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0603469E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0602715E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0605898E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0603468E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0602026E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0601117E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0064,0603286E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine (Reconfigurable Imaging) program, HR0011 office. ReImagine ended; absent from FY2026 narrative corpus. 'Sensor Technology' title overlap is generic-word only.",
HR001117C0065,0602024E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0605001E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0603760E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0601122E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0602026E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0603739E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0602303E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0601101E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0602025E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0603467E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0603468E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0603287E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0603469E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0603286E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0603766E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0602023E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0601117E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0605502E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
HR001117C0065,0602115E,medium,darpa_unpinned,unpinned-pool,,,"DARPA ReImagine program (DRS), HR0011 office. No corpus hit; sensor/imaging title overlap is generic.",
